Company Name,Ratings,Reviews,Salaries,Interviews,Jobs,Benefits,Photos,Highly Rated for,Critical Rated for,Industry,Location
TCS,3.3,110000,990000,11900,3200,10600,93,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting,Bengaluru +439 other locations
Accenture,3.7,72500,660000,9300,25700,6700,49,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting,Bengaluru +257 other locations
Wipro,3.6,64400,480000,6800,429,4600,107,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting,Hyderabad +371 other locations
Cognizant,3.7,60700,600000,6400,445,5500,86,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting,Hyderabad +233 other locations
Capgemini,3.7,52400,480000,5500,2500,3700,42,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting,Bengaluru +182 other locations
HDFC Bank,3.8,51500,150000,3000,383,3200,86,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",Banking,Mumbai +1839 other locations
Infosys,3.5,48100,520000,8400,2700,4800,118,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting,Bengaluru +248 other locations
ICICI Bank,3.9,45400,150000,2900,15,3700,73,"Job Security, Promotions / Appraisal, Skill Development / Learning",,Banking,Mumbai +1441 other locations
HCLTech,3.4,45400,380000,4500,272,3800,65,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting,Chennai +232 other locations
Tech Mahindra,3.4,42900,280000,4500,637,3400,79,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting,Hyderabad +331 other locations
Genpact,3.6,41500,230000,3800,857,3500,66,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Analytics & KPO,Hyderabad +181 other locations
TP,3.8,37700,97700,2200,2000,1800,38,"Work Life Balance, Job Security",,BPO,Mumbai +257 other locations
Jio,4.4,33400,62100,4300,1,2500,87,"Job Security, Skill Development / Learning, Company Culture",,Telecom,Mumbai +1961 other locations
Axis Bank,3.6,32700,100000,1900,234,2100,121,,"Promotions / Appraisal, Work Satisfaction, Company Culture",Banking,Mumbai +1513 other locations
Concentrix Corporation,3.6,31800,130000,2000,37,3100,66,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",BPO,Bengaluru +179 other locations
Amazon,3.9,31200,150000,5900,2000,3600,90,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,Internet,Bengaluru +523 other locations
Reliance Retail,3.9,27200,76500,1900,132,1800,137,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,Retail,Mumbai +1156 other locations
iEnergizer,4.6,27100,24300,1400,85,430,29,"Company Culture, Job Security, Salary & Benefits",,BPO,Noida +52 other locations
LTIMindtree,3.6,26100,190000,3400,344,777,34,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting,Bengaluru +145 other locations
IBM,3.9,25600,210000,2600,2400,2600,23,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,IT Services & Consulting,Bengaluru +161 other locations
HDB Financial Services,3.9,25400,49600,1100,2100,1500,73,"Work Life Balance, Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",NBFC,Mumbai +1095 other locations
Larsen & Toubro Limited,3.9,23600,75000,1800,85,2500,65,"Job Security, Skill Development / Learning, Salary & Benefits","Promotions / Appraisal, Work Life Balance",Engineering & Construction,Chennai +761 other locations
Deloitte,3.7,22800,250000,3300,1700,2400,25,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",Management Consulting,Hyderabad +189 other locations
Kotak Mahindra Bank,3.6,22200,86900,1400,147,1300,43,,"Promotions / Appraisal, Work Satisfaction, Company Culture",Banking,Mumbai +688 other locations
Reliance Industries,4,20000,72800,1600,78,1800,38,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,Oil & Gas,Jamnagar +821 other locations
Vodafone Idea,3.9,17500,49900,685,66,2000,22,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal,Telecom,Pune +707 other locations
Bharti Airtel,3.8,17000,49500,1100,188,1600,101,,Promotions / Appraisal,Telecom,Gurugram +794 other locations
BYJU'S,3.2,16400,53200,2100,1,1700,28,,"Job Security, Work Life Balance, Company Culture",EdTech,Bengaluru +322 other locations
WNS,3.3,15000,70000,1200,100,1300,24,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting,Pune +66 other locations
IDFC FIRST Bank,3.9,14300,49400,951,43,692,96,"Salary & Benefits, Skill Development / Learning",,Banking,Mumbai +719 other locations
Ernst & Young,3.4,14300,140000,1300,4900,1100,10,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",Management Consulting,Bengaluru +132 other locations
Tata Motors,4.1,14100,42800,1300,159,1600,43,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,Automobile,Pune +508 other locations
IndusInd Bank,3.4,14100,51800,764,91,796,16,,"Promotions / Appraisal, Company Culture, Work Satisfaction",Banking,Mumbai +796 other locations
AU Small Finance Bank,3.9,14000,29300,694,273,578,27,"Skill Development / Learning, Salary & Benefits",,Banking,Jaipur +795 other locations
Muthoot FinCorp,4.6,13100,9300,2400,21,275,103,"Company Culture, Skill Development / Learning, Work Life Balance",,NBFC,Bengaluru +1118 other locations
Bajaj Finserv,4,12900,30600,736,9,707,16,"Salary & Benefits, Skill Development / Learning, Job Security",,NBFC,Pune +1180 other locations
Flipkart,3.9,12800,54900,1700,135,1400,104,"Company Culture, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,Internet,Bengaluru +558 other locations
PwC,3.3,12300,120000,1600,1100,800,24,,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",Management Consulting,Bengaluru +135 other locations
Mahindra & Mahindra,4,12000,40400,855,1,1200,19,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,Automobile,Pune +566 other locations
Infosys BPM,3.5,11900,74800,1100,63,1100,8,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",BPO,Bengaluru +96 other locations
DXC Technology,3.6,11900,71900,896,197,1100,9,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting,Bengaluru +133 other locations
HDFC Life,3.9,11900,32900,797,101,613,55,"Job Security, Skill Development / Learning",,Insurance,Mumbai +706 other locations
Bandhan Bank,3.7,10900,25200,751,26,517,43,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",Banking,Kolkata +1002 other locations
Digitide Solutions,3.5,10200,26700,567,334,772,47,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting,Hyderabad +272 other locations
Mphasis,3.3,10100,74200,926,46,845,132,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting,Bengaluru +64 other locations
Yes Bank,3.7,10100,43100,552,189,608,18,,"Job Security, Promotions / Appraisal, Company Culture",Banking,Mumbai +543 other locations
Tata Steel,4,9800,34300,1100,,660,52,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,Iron & Steel,Jamshedpur +230 other locations
Quess,3.8,9600,31200,539,44,440,22,,"Promotions / Appraisal, Job Security",Recruitment,Bengaluru +746 other locations
Maruti Suzuki,4.2,9500,28200,784,789,1100,25,"Job Security, Salary & Benefits, Company Culture",,Automobile,Gurugram +455 other locations
Asian Paints,3.9,9500,25700,858,65,884,36,"Salary & Benefits, Skill Development / Learning, Job Security","Promotions / Appraisal, Work Life Balance",Chemicals,Mumbai +554 other locations
